fecha,descripcion,ambito,id_municipio,lugar
2025-03-04,Martes de Entroido,municipal,32045,Maside
2025-08-27,festa do San Vitorio,municipal,32045,Maside
2025-06-13,Santo Ant�n,municipal,32046,Melón
2025-07-11,San Bieito,municipal,32046,Melón
2025-06-16,Esp�rito Santo,municipal,32047,A Merca
2025-11-11,San Marti�o,municipal,32047,A Merca
2025-08-05,Virxe das Neves,municipal,32048,A Mezquita
2025-11-11,San Marti�o,municipal,32048,A Mezquita
2025-03-04,Martes de Entroido,municipal,32049,Montederramo
2025-08-16,,municipal,32049,Montederramo
2025-03-05,M�rcores de Cinza,municipal,32050,Monterrei
2025-06-09,Virxe da Caridade,municipal,32050,Monterrei
2025-03-04,Martes de Entroido,municipal,32051,Muíños
2025-11-11,San Marti�o,municipal,32051,Muíños
2025-03-04,Martes de Entroido,municipal,32052,Nogueira de Ramu�n
2025-11-11,San Marti�o,municipal,32052,Nogueira de Ramu�n
2025-03-05,M�rcores de Cinza,municipal,32053,Oímbra
2025-09-08,festa dos Milagres e dos Remedios,municipal,32053,Oímbra
2025-03-04,Martes de Entroido,municipal,32054,Ourense
2025-11-11,San Marti�o,municipal,32054,Ourense
2025-03-04,Martes de Entroido,municipal,32055,Paderne de Allariz
2025-11-11,San Marti�o,municipal,32055,Paderne de Allariz
2025-06-24,San Xo�n,municipal,32056,Padrenda
2025-09-29,San Miguel de Desteriz,municipal,32056,Padrenda
2025-03-04,Martes de Entroido,municipal,32057,Parada de Sil
2025-11-11,,municipal,32057,Parada de Sil
2025-03-04,Martes de Entroido,municipal,32058,O Pereiro de Aguiar
2025-11-11,San Marti�o,municipal,32058,O Pereiro de Aguiar
2025-03-04,Martes de Entroido,municipal,32059,A Peroxa
2025-11-11,San Marti�o,municipal,32059,A Peroxa
2025-01-17,,municipal,32060,Petín
2025-07-24,,municipal,32060,Petín
2025-03-04,Martes de Entroido,municipal,32061,Piñor
2025-11-11,San Marti�o,municipal,32061,Piñor
2025-03-04,Martes de Entroido,municipal,32062,Porqueira
2025-07-16,d�a do Carme,municipal,32062,Porqueira
2025-08-25,San Bartolomeu,municipal,32063,A Pobra de Trives
2025-09-15,Santo Cristo da Misericordia,municipal,32063,A Pobra de Trives
2025-03-04,Martes de Entroido,municipal,32064,Pontedeva
2025-10-01,San Breixo,municipal,32064,Pontedeva
2025-03-04,Martes de Entroido,municipal,32065,Punxín
2025-04-28,San Wintila,municipal,32065,Punxín
2025-03-04,Martes de Entroido,municipal,32066,Quintela de Leirado
2025-09-08,Virxe dos Remedios,municipal,32066,Quintela de Leirado
2025-06-24,,municipal,32067,Rairiz de Veiga
2025-09-24,,municipal,32067,Rairiz de Veiga
2025-03-04,Martes de Entroido,municipal,32068,Ramirás
2025-11-11,San Marti�o,municipal,32068,Ramirás
